UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 3月15 ?       00:00:02 /sbin/init splash
root         2     0  0 3月15 ?       00:00:00 [kthreadd]
root         4     2  0 3月15 ?       00:00:00 [kworker/0:0H]
root         6     2  0 3月15 ?       00:00:00 [mm_percpu_wq]
root         7     2  0 3月15 ?       00:00:00 [ksoftirqd/0]
root         8     2  0 3月15 ?       00:00:24 [rcu_sched]
root         9     2  0 3月15 ?       00:00:00 [rcu_bh]
root        10     2  0 3月15 ?       00:00:00 [migration/0]
root        11     2  0 3月15 ?       00:00:00 [watchdog/0]
root        12     2  0 3月15 ?       00:00:00 [cpuhp/0]
root        13     2  0 3月15 ?       00:00:00 [cpuhp/1]
root        14     2  0 3月15 ?       00:00:00 [watchdog/1]
root        15     2  0 3月15 ?       00:00:00 [migration/1]
root        16     2  0 3月15 ?       00:00:00 [ksoftirqd/1]
root        18     2  0 3月15 ?       00:00:00 [kworker/1:0H]
root        19     2  0 3月15 ?       00:00:00 [cpuhp/2]
root        20     2  0 3月15 ?       00:00:00 [watchdog/2]
root        21     2  0 3月15 ?       00:00:00 [migration/2]
root        22     2  0 3月15 ?       00:00:00 [ksoftirqd/2]
root        24     2  0 3月15 ?       00:00:00 [kworker/2:0H]
root        25     2  0 3月15 ?       00:00:00 [cpuhp/3]
root        26     2  0 3月15 ?       00:00:00 [watchdog/3]
root        27     2  0 3月15 ?       00:00:00 [migration/3]
root        28     2  0 3月15 ?       00:00:00 [ksoftirqd/3]
root        30     2  0 3月15 ?       00:00:00 [kworker/3:0H]
root        31     2  0 3月15 ?       00:00:00 [kdevtmpfs]
root        32     2  0 3月15 ?       00:00:00 [netns]
root        37     2  0 3月15 ?       00:00:00 [khungtaskd]
root        38     2  0 3月15 ?       00:00:00 [oom_reaper]
root        39     2  0 3月15 ?       00:00:00 [writeback]
root        40     2  0 3月15 ?       00:00:00 [kcompactd0]
root        41     2  0 3月15 ?       00:00:00 [ksmd]
root        42     2  0 3月15 ?       00:00:00 [khugepaged]
root        43     2  0 3月15 ?       00:00:00 [crypto]
root        44     2  0 3月15 ?       00:00:00 [kintegrityd]
root        45     2  0 3月15 ?       00:00:00 [kblockd]
